t,y
39.54,55.6
39.57,56.45
39.6,56.03
39.64,56
39.67,55.58
39.71,55.5
39.74,55.72
39.77,55.56
39.81,55.56
39.84,55.5
39.87,55.74
39.9,55.91
39.93,56.07
39.97,56.24
40,55.32
40.04,55.66
40.07,56.1
40.11,55.85
40.14,55.29
40.17,55.96
40.21,54.87
40.24,53.96
40.27,53.5
40.31,49
40.34,42
40.37,42.02
40.41,45.5
40.44,47.5
40.47,49
40.5,46.5
40.54,38
40.57,32.5
40.61,30
40.64,30.97
40.67,36
40.7,46.5
40.74,52
40.77,54
40.81,55.5
40.84,54.32
40.87,54.95
40.91,54.5
40.94,54.75
40.97,56
41,55.96
41.04,55.52
41.07,56.5
41.11,56.13
41.14,56.43
41.17,55.52
41.21,55
41.24,52.5
41.27,50
41.3,48.5
41.34,49
41.37,48.53
41.41,47
41.44,44.5
41.47,39
41.5,37
41.54,35
41.57,40
41.6,49
41.63,51.5
41.67,53
41.7,52.58
41.74,52.3
41.77,51.28
41.81,52.16
41.84,52.48
41.87,51.56
41.91,52.31
41.94,52.96
41.97,53.5
42,54.13
42.04,54.3
42.07,54.37
42.11,54.53
42.14,54.85
42.17,54
42.21,54
42.24,54.29
42.27,53.13
42.3,53.42
42.34,53.46
42.37,53.74
42.41,54.34
42.44,53.87
42.47,53.72
42.51,54.48
42.54,54.5
42.57,54.95
42.61,54.5
42.64,54.44
42.67,54
42.71,48
42.74,15
42.77,-1
42.8,-1
42.84,-1
42.87,-1
42.91,-1
42.94,-1
42.97,-1
43,-1
43.04,-1
43.07,-1
43.11,-1
43.14,-1
43.17,-1
43.2,-1
43.24,-1
43.27,-1
43.3,-1
43.34,-1
43.37,-1
43.4,50.57
43.44,53.11
43.47,53.5
43.5,54.5
43.54,54
43.57,54.31
43.6,54.5
43.64,54.5
43.67,54.5
43.71,55.5
43.74,54
43.77,40
43.81,-1
43.84,-1
43.87,-1
43.91,-1
43.94,20.06
43.97,51.5
44.01,54.5
44.04,53.52
44.07,53.58
44.1,54
44.14,54.02
44.17,53.87
44.21,54
44.24,54.22
44.27,54.18
44.3,53.79
44.34,54.19
44.37,54.16
44.41,54.32
44.44,55.06
44.47,55.06
44.51,54.93
44.54,55
44.57,55
44.6,55.33
44.64,55.75
44.67,55.84
44.71,55
44.74,55.32
44.77,55.59
44.8,55.97
44.84,55.19
44.87,55.5
44.9,55.88
44.94,56
44.97,55.5
45.01,55.5
45.04,55.59
45.07,55.77
45.11,55.5
45.14,55.25
45.17,56.19
45.2,56.07
45.23,56.56
45.27,56.03
45.31,56.87
45.34,56.39
45.37,55.59
45.4,56.5
45.44,56.35
45.47,55.66
45.5,56.5
45.54,56.77
45.57,57.11
45.61,56.11
45.64,56.54
45.67,56.11
45.71,56.16
45.74,55.77
45.77,55.64
45.81,56
45.84,55.5
45.87,55.71
45.9,55.5
45.94,55.4
45.97,55.5
46,56.04
46.04,55.94
46.07,56.7
46.1,56
46.14,56
46.17,56.09
46.2,55.84
46.24,55.5
46.27,38.5
46.3,-1
46.34,-1
46.37,-1
46.41,-1
46.44,-1
46.47,39.5
46.51,51.5
46.54,55.5
46.57,56.79
46.6,57
46.64,56.99
46.67,57.31
46.7,56.68
46.74,57.33
46.77,57
46.8,56.5
46.84,57.5
46.87,57.55
46.9,57.2
46.93,57.72
46.97,56.79
47,57.23
47.04,57
47.07,57.35
47.1,57.39
47.14,57.87
47.17,57.35
47.2,57.76
47.24,57.63
47.27,56.92
47.3,57.79
47.34,57.53
47.37,57.99
47.4,57.82
47.44,58
47.47,57.38
47.51,57.06
47.54,57.63
47.57,57.75
47.61,57.01
47.64,55
47.67,54
47.71,53
47.74,55
47.77,55.5
47.81,56.5
47.84,56.1
47.87,56.5
47.91,56
47.94,50.46
47.97,42
48.01,37
48.04,40
48.07,49
48.1,56.05
48.14,58
48.17,56.86
48.21,56.98
48.24,56.15
48.27,55.09
48.31,54.69
48.34,55.15
48.37,54
48.4,53.5
48.44,53.5
48.47,53.18
48.51,53.1
48.54,52.73
48.57,51.32
48.61,50.49
48.64,50.2
48.67,48.44
48.7,48
48.74,46.72
48.77,46.9
48.81,45.15
48.84,44.31
48.87,44.12
48.91,42.63
48.94,43
48.97,42.57
49,42
49.04,42
49.07,41
49.1,40.95
49.14,39.73
49.17,39.96
49.21,38.71
49.24,38.5
49.27,39.04
49.31,38.32
49.34,38.52
49.37,37.5
49.41,36.93
49.44,37.46
49.47,37.47
49.51,37
49.54,36.58
49.57,37
49.61,36.5
49.64,35.57
49.67,36.01
49.7,36.06
49.74,36
49.77,36
49.8,35.5
49.84,35.55
49.87,35.5
49.9,34.91
49.94,35.46
49.97,35
50,34.11
50.04,34.99
50.07,33.9
50.1,34.09
50.14,34.5
50.17,33.32
50.2,33
50.24,33.5
50.27,32.85
50.3,32
50.34,32.83
50.37,32
50.4,32
50.44,32
50.47,31.64
50.51,31.43
50.54,32
50.57,31.23
50.61,31
50.64,31.06
50.67,30.91
50.71,31
50.74,31.19
50.77,30.3
50.8,30.94
50.84,30.8
50.87,31
50.9,30.13
50.94,30.41
50.97,30.76
51,30.23
51.04,30.72
51.07,30.17
51.1,30.11
51.14,30.5
51.17,30
51.2,29.85
51.24,30.1
51.27,29.59
51.31,29.61
51.34,29.07
51.37,29.24
51.41,28.85
51.44,28.42
51.47,28
51.5,27.71
51.54,28
51.57,27.8
51.6,27
51.64,27.35
51.67,27.52
51.7,26.5
51.74,26.65
51.77,26.58
51.8,26.5
51.84,26.47
51.87,25.77
51.91,25.77
51.94,26.63
51.97,26
52.01,26.42
52.04,26.5
52.07,26.5
52.11,27
52.14,26.91
52.17,27.5
52.21,26.5
52.24,26.91
52.27,27.54
52.3,27.5
52.34,27.5
52.37,27.5
52.4,27.56
52.44,28
52.47,27.96
52.5,27.91
52.54,28.5
52.57,27.5
52.6,27.5
52.64,26.4
52.67,23
52.7,16.5
52.74,-1
52.77,-1
52.8,-1
52.84,-1
52.87,-1
52.9,-1
52.94,4.5
52.97,15.55
53.01,23.5
53.04,24.5
53.07,24.5
53.11,25
53.14,25.95
53.17,25.5
53.21,27.5
53.24,29
53.27,29.93
53.31,30.03
53.34,31.5
53.37,31.5
53.4,31.5
53.43,32.03
53.47,32.03
53.5,32
53.53,32
53.57,31.58
53.6,30.46
53.64,29.5
53.67,28.82
53.71,28.23
53.74,27.66
53.77,27
53.81,26
53.84,26
53.87,25.38
53.9,25
53.93,25
53.97,24.9
54,24.33
54.04,25.04
54.07,25
54.1,24.22
54.13,24.43
54.17,23.79
54.2,24
54.24,24.5
54.27,23.9
54.3,24.5
54.33,25.08
54.37,24.94
54.4,25
54.44,24.5
54.47,24.97
54.5,25.5
54.54,25.03
54.57,25.12
54.6,24.89
54.63,25.5
54.67,25
54.71,24.99
54.74,25
54.77,25
54.81,25.08
54.84,25.04
54.87,24.4
54.91,22
54.94,15
54.97,15
55,19.5
55.04,24
55.07,25
55.1,25.14
55.13,25
55.17,25.44
55.2,25
55.23,25.11
55.27,25.5
55.3,26
55.34,26.96
55.37,27
55.4,26.85
55.43,27
55.47,27.17
55.5,27
55.53,26.97
55.57,27
55.61,26.5
55.64,25.5
55.67,25.5
55.71,25.11
55.74,25.56
55.77,25.7
55.81,25.5
55.84,25.56
55.87,25
55.91,24.76
55.94,24.5
55.97,25.5
56,25.5
56.03,24.5
56.07,25
56.1,25.5
56.14,24.64
56.17,25.5
56.2,26.01
56.23,25.38
56.27,25.9
56.3,25.81
56.33,25.21
56.37,26
56.4,26
56.44,26
56.47,25.5
56.5,25.88
56.53,25.59
56.57,25.86
56.6,26
56.63,26
56.67,25.5
56.7,26
56.74,26.5
56.77,26
56.8,26
56.83,25.93
56.87,26
56.9,26.21
56.93,25.68
56.97,26
57,26.39
57.04,26
57.07,26
57.1,26.5
57.13,26
57.17,25.89
57.21,25.83
57.24,26.5
57.27,26.5
57.31,26.27
57.34,26.5
57.37,26.9
57.41,27.56
57.44,28
57.47,28.5
57.5,29.5
57.54,28.8
57.57,29.5
57.6,29.69
57.64,30.5
57.67,30.01
57.7,30.85
57.74,31.44
57.77,31.37
57.8,31.69
57.83,31.81
57.87,32
57.9,32.89
57.94,32.56
57.97,32.5
58,33.24
58.03,33.5
58.07,33.42
58.1,33.83
58.13,34
58.17,34.16
58.21,34.5
58.24,34.95
58.27,34.5
58.31,34.83
58.34,35
58.37,35.37
58.41,36.06
58.44,36.5
58.47,36
58.5,36.5
58.54,37
58.57,37.29
58.6,37
58.64,37.5
58.67,37.94
58.7,37.55
58.74,38.23
58.77,38.57
58.8,38.06
58.84,38.56
58.87,38.64
58.9,38.5
58.94,38.88
58.97,38.5
59,39
59.04,39.18
59.07,39.5
59.1,39.7
59.14,39
59.17,38.5
59.2,39.3
59.24,39.65
59.27,40.19
59.3,39.82
59.34,39.74
59.37,40
59.4,40.16
59.44,40
59.47,40.68
59.5,40.52
59.54,41
59.57,41.15
59.6,41
59.64,40.94
59.67,40.5
59.7,41
59.74,41
59.77,42
59.8,41.5
59.84,41.7
59.87,41.45
59.9,42.3
59.94,42.39
59.97,42.11
60,42
60.04,41.81
60.07,41.5
60.1,42
60.14,42.98
60.17,42.5
60.2,42.5
60.24,42.47
60.27,42.63
60.3,43.44
60.34,43.5
60.37,42.55
60.4,43.07
60.44,44
60.47,43.66
60.5,43.92
60.54,43.92
60.57,43.34
60.61,43.5
60.64,43
60.67,36.95
60.71,31
60.74,37
60.77,40.5
60.81,43
60.84,43.5
60.87,44
60.9,44.19
60.94,44.2
60.97,45
61,44.1
61.04,44.71
61.07,45
61.1,44
61.13,44.4
61.17,44.5
61.2,45.29
61.24,45.31
61.27,45
61.3,45.55
61.33,45.21
61.37,45.73
61.4,45.82
61.44,46.04
61.47,45.43
61.5,45
61.53,44.5
61.57,39.5
61.6,34
61.64,24
61.67,22
